School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Demographic,Suppressed,Dropout Rate
20232024,,,999,All Districts,,All Schools,999000,,,,,,All Students,N,1.3
20232024,,,999,All Districts,,All Schools,999000,,,,,,Female,N,1.1
20232024,,,999,All Districts,,All Schools,999000,,,,,,Male,N,1.5
20232024,,,999,All Districts,,All Schools,999000,,,,,,African American,N,2.2
20232024,,,999,All Districts,,All Schools,999000,,,,,,American Indian or Alaska Native,N,2.2
20232024,,,999,All Districts,,All Schools,999000,,,,,,Asian,N,0.7
20232024,,,999,All Districts,,All Schools,999000,,,,,,Hispanic or Latino,N,2.6
20232024,,,999,All Districts,,All Schools,999000,,,,,,Native Hawaiian or Pacific Islander,N,1.7
20232024,,,999,All Districts,,All Schools,999000,,,,,,Two or More Races,N,1.2
20232024,,,999,All Districts,,All Schools,999000,,,,,,White (non-Hispanic),N,1
20232024,,,999,All Districts,,All Schools,999000,,,,,,Economically Disadvantaged,N,1.6
20232024,,,999,All Districts,,All Schools,999000,,,,,,Non Economically Disadvantaged,N,0.9
20232024,,,999,All Districts,,All Schools,999000,,,,,,Students with Disabilities (IEP),N,1.5
20232024,,,999,All Districts,,All Schools,999000,,,,,,Student without Disabilities (IEP),N,1.2
20232024,,,999,All Districts,,All Schools,999000,,,,,,English Learner,N,4.6
20232024,,,999,All Districts,,All Schools,999000,,,,,,Non English Learner,N,1.1
20232024,,,999,All Districts,,All Schools,999000,,,,,,Homeless,N,3.5
20232024,,,999,All Districts,,All Schools,999000,,,,,,Migrant,N,1.9
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,All Students,N,0.4
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Female,N,0.3
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Male,N,0.4
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,African American,N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,American Indian or Alaska Native,Y, *
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Asian,Y, *
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Hispanic or Latino,N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Native Hawaiian or Pacific Islander,, 
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Two or More Races,N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,White (non-Hispanic),N,0.5
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Economically Disadvantaged,N,0.6
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Non Economically Disadvantaged,N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Students with Disabilities (IEP),N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Student without Disabilities (IEP),N,0.4
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,English Learner,N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Non English Learner,N,0.4
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Homeless,N,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Migrant,Y, *
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,All Students,N,0.6
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Female,N,0.5
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Male,N,0.7
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,African American,N,0
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,American Indian or Alaska Native,, 
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Asian,Y, *
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Hispanic or Latino,N,0
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Native Hawaiian or Pacific Islander,, 
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Two or More Races,N,0
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,White (non-Hispanic),N,0.7
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Economically Disadvantaged,N,1
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Non Economically Disadvantaged,N,0
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Students with Disabilities (IEP),N,0
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Student without Disabilities (IEP),N,0.7
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,English Learner,Y, *
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Non English Learner,N,0.6
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Homeless,Y, *
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,2.10003E+11,GRREC,902,A1,Migrant,Y, *
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,All Students,N,0
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,Female,N,0
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,Male,N,0
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,African American,Y, *
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,American Indian or Alaska Native,Y, *
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,Asian,Y, *
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,Hispanic or Latino,N,0
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,2.10003E+11,GRREC,902,A1,Native Hawaiian or Pacific Islander,, 
