School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Demographic,All Grades,Preschool,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade 14
20232024,,,999,All Districts,,All Schools,999000,,,,,All Students,All Students,"686,224","31,467","49,681","50,859","52,241","48,560","49,321","49,728","46,144","49,278","50,090","56,075","54,149","50,192","47,786",653
20232024,,,999,All Districts,,All Schools,999000,,,,,Male/Female together total All Students,Female,"331,429","13,950","23,955","24,873","25,303","23,734","23,912","24,119","22,146","23,926","24,063","27,061","26,353","24,607","23,210",217
20232024,,,999,All Districts,,All Schools,999000,,,,,Male/Female together total All Students,Male,"354,795","17,517","25,726","25,986","26,938","24,826","25,409","25,609","23,998","25,352","26,027","29,014","27,796","25,585","24,576",436
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,African American,"74,804","3,477","5,307","5,298","5,445","5,212","5,279","5,381","4,763","5,474","5,541","6,605","6,294","5,566","5,059",103
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,American Indian or Alaska Native,948,34,82,65,74,60,84,68,59,59,72,79,66,78,68,0
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,Asian,"14,529",591,"1,054","1,162","1,166","1,119","1,126","1,157","1,085","1,063",999,997,"1,005",974,"1,017",14
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,Hispanic or Latino,"69,877","3,089","5,324","5,225","5,364","5,000","5,046","4,984","4,596","5,054","5,044","6,174","5,773","4,882","4,279",43
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,Native Hawaiian or Pacific Islander,"1,323",40,101,112,129,89,100,101,96,110,100,97,100,77,70,1
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,Two or More Races,"36,681","2,056","3,125","3,041","3,085","2,789","2,774","2,721","2,490","2,545","2,567","2,744","2,489","2,247","1,991",17
20232024,,,999,All Districts,,All Schools,999000,,,,,Race/ethnicity totals up to All Students,White (non-Hispanic),"488,062","22,180","34,688","35,956","36,978","34,291","34,912","35,316","33,055","34,973","35,767","39,379","38,422","36,368","35,302",475
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Economically Disadvantaged,"426,203","22,896","33,026","33,575","34,262","31,178","31,428","31,299","28,475","30,119","30,392","33,923","31,643","27,799","25,798",390
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Students with Disabilities (IEP),"119,676","14,630","11,211","11,270","10,725","9,458","9,175","8,331","6,998","6,929","6,709","6,959","6,428","5,416","4,793",644
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,English Learner,"51,167",1,"5,674","5,578","5,545","4,995","4,857","3,694","2,922","3,197","3,037","3,974","3,289","2,417","1,947",40
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Foster Care,"7,507",481,525,526,467,400,443,398,442,464,547,832,823,629,502,28
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Gifted and Talented,"90,037",0,"2,898","6,247","8,504","8,467","5,162","6,764","6,566","6,893","7,279","8,012","7,793","7,595","7,854",3
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Homeless,"21,374",878,"1,915","1,883","1,863","1,567","1,568","1,638","1,438","1,493","1,458","1,681","1,509","1,145","1,327",11
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Migrant,"4,023",206,332,348,357,308,282,316,283,285,293,354,301,206,152,0
20232024,,,999,All Districts,,All Schools,999000,,,,,I'm assuming more than one student can be in these categories. Need to confirm,Military Dependent,"3,475",150,321,307,327,279,288,271,241,233,225,259,227,214,133,0
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,All Students,"3,068",119,179,209,215,189,197,219,189,216,249,274,342,267,204,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Female,"1,345",55,77,98,97,94,95,107,88,99,117,109,123,105,81,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Male,"1,723",64,102,111,118,95,102,112,101,117,132,165,219,162,123,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,African American,199,3,3,4,2,4,4,3,3,2,12,32,67,36,24,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,American Indian or Alaska Native,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Asian,13,2,1,0,2,0,0,2,0,0,1,0,3,1,1,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Hispanic or Latino,215,11,15,15,14,14,16,14,20,15,18,19,24,11,9,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Native Hawaiian or Pacific Islander,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,
20232024,001,ADAIR,001,Adair County,,All Schools,001000,,,GRREC,902,,Two or More Races,169,7,12,13,17,8,9,12,8,12,14,17,16,16,8,
